MODEL,SCENARIO,REGION,VARIABLE,UNIT,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AIM/CGE 2.0,SSP1-26,World,Primary Energy|Oil,EJ/yr,,,,,,164.2515,,,,,168.7875,,,,,,,,,,181.9613,,,,,,,,,,184.7484,,,,,,,,,,161.0702,,,,,,,,,,146.474,,,,,,,,,,126.7169,,,,,,,,,,98.0479,,,,,,,,,,85.8676,,,,,,,,,,72.8002,,,,,,,,,,66.6927
AIM/CGE 2.0,SSP1-26,World,Primary Energy|Other,EJ/yr,,,,,,0.0348,,,,,0.0344,,,,,,,,,,0.038,,,,,,,,,,0.0356,,,,,,,,,,0.0352,,,,,,,,,,0.0339,,,,,,,,,,0.0374,,,,,,,,,,0.0414,,,,,,,,,,0.0457,,,,,,,,,,0.0502,,,,,,,,,,0.0544
AIM/CGE 2.0,SSP1-26,World,Primary Energy|Secondary Energy Trade,EJ/yr,,,,,,-11.5508,,,,,-13.0201,,,,,,,,,,-15.764,,,,,,,,,,-18.4166,,,,,,,,,,-22.7026,,,,,,,,,,-26.5277,,,,,,,,,,-28.8587,,,,,,,,,,-30.9953,,,,,,,,,,-30.866,,,,,,,,,,-30.3105,,,,,,,,,,-29.0458
AIM/CGE 2.0,SSP1-26,World,Primary Energy|Solar,EJ/yr,,,,,,0.0102,,,,,0.1671,,,,,,,,,,0.8887,,,,,,,,,,6.4068,,,,,,,,,,23.2448,,,,,,,,,,39.7676,,,,,,,,,,47.5119,,,,,,,,,,57.4876,,,,,,,,,,60.8792,,,,,,,,,,64.4978,,,,,,,,,,64.9899
AIM/CGE 2.0,SSP1-26,World,Primary Energy|Wind,EJ/yr,,,,,,0.3677,,,,,0.7553,,,,,,,,,,4.3619,,,,,,,,,,18.1857,,,,,,,,,,50.5871,,,,,,,,,,71.9328,,,,,,,,,,82.2738,,,,,,,,,,94.391,,,,,,,,,,94.2227,,,,,,,,,,92.2403,,,,,,,,,,87.7323
AIM/CGE 2.0,SSP1-26,World,Secondary Energy|Electricity,EJ/yr,,,,,,65.0535,,,,,76.5709,,,,,,,,,,98.7045,,,,,,,,,,125.8262,,,,,,,,,,168.6736,,,,,,,,,,206.8598,,,,,,,,,,232.3073,,,,,,,,,,257.366,,,,,,,,,,263.3736,,,,,,,,,,266.2462,,,,,,,,,,261.1181
AIM/CGE 2.0,SSP1-26,World,Secondary Energy|Electricity|Biomass,EJ/yr,,,,,,1.3579,,,,,1.3591,,,,,,,,,,1.5107,,,,,,,,,,1.8137,,,,,,,,,,6.42,,,,,,,,,,12.6828,,,,,,,,,,18.0496,,,,,,,,,,16.2155,,,,,,,,,,17.6795,,,,,,,,,,19.3143,,,,,,,,,,20.2667
AIM/CGE 2.0,SSP1-26,World,Secondary Energy|Electricity|Coal,EJ/yr,,,,,,25.2933,,,,,30.6083,,,,,,,,,,36.8162,,,,,,,,,,31.3432,,,,,,,,,,17.5054,,,,,,,,,,16.1753,,,,,,,,,,15.0642,,,,,,,,,,12.0889,,,,,,,,,,11.1519,,,,,,,,,,9.5759,,,,,,,,,,8.9381
AIM/CGE 2.0,SSP1-26,World,Secondary Energy|Electricity|Gas,EJ/yr,,,,,,13.3435,,,,,15.3083,,,,,,,,,,19.7354,,,,,,,,,,20.7885,,,,,,,,,,17.2831,,,,,,,,,,14.7395,,,,,,,,,,15.7636,,,,,,,,,,17.6604,,,,,,,,,,19.4367,,,,,,,,,,20.6142,,,,,,,,,,21.9293
AIM/CGE 2.0,SSP1-26,World,Secondary Energy|Electricity|Geothermal,EJ/yr,,,,,,0.1942,,,,,0.2034,,,,,,,,,,0.2425,,,,,,,,,,0.2831,,,,,,,,,,0.3363,,,,,,,,,,0.3601,,,,,,,,,,0.4112,,,,,,,,,,0.4766,,,,,,,,,,0.5305,,,,,,,,,,0.5709,,,,,,,,,,0.594
